,あなたは宇宙基地へ派遣された研究員です。一人で実験室で研究中に外部で事故が発生。
,どうやら仲間は全滅してしまったようです。このまま一人でいてもしょうがないので、宇宙基地の脱出用宇宙船で脱出しましょう。
,
発酵測深器,菌の変性を見るための装置だ。ほかの材料と合わせればなにかできるかもしれない。
発酵測深器 セット3つ未満,発酵させるには材料が足りないようだ。
発酵測深器使用後01（味噌）,味噌を手に入れた
発酵測深器使用後02（納豆）,納豆をおいしくいただいた。しかし脱出の手段を失ってしまった。（ゲームオーバー）
台所,塩を手に入れた
冷蔵庫,大豆を手に入れた
フードプリンター,"フードプリンターだ。これさえあればいろんな料理ができるのだが、故障で味噌汁のメニューしか選択できない。
材料の味噌をセットすれば味噌汁ができるのだが"
フードプリンター（味噌セット）,味噌汁を手に入れた
"フードプリンター
（味噌セット後魚の骨セット）",アラ汁を手に入れた
宇宙魚,体力が1回復した
魚の骨,魚の骨を手に入れた
格子,"厳重にロックされている。この先に宇宙船があるはずだが、この先に入る権限は持っていない。
鍵を無理やり壊すのは無理そうだ。ほかの方法を考えなくては…"
格子（味噌汁使用）,格子が錆びて壊れた。これで先に進める。
起動,起動しない、どうやら燃料がないようだ。
